date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-07-25,RELIANCE,1231.5,1269.050049,1227.0,1264.0,9968545.0,1220.199707,0,0,0,9968545.0,0,0
2019-07-26,RELIANCE,1213.800049,1242.5,1210.0,1231.5,9320481.0,1202.662231,0,0,0,9320481.0,0,0
2019-07-29,RELIANCE,1210.949951,1222.0,1205.099976,1216.900024,8058035.0,1199.838257,0,0,0,8058035.0,0,0
2019-07-30,RELIANCE,1180.900024,1220.0,1175.949951,1213.949951,9533344.0,1170.064087,0,0,0,9533344.0,0,0
2019-07-31,RELIANCE,1166.25,1185.0,1162.400024,1175.75,9705619.0,1155.548462,0,0,0,9705619.0,0,0
2019-08-01,RELIANCE,1180.25,1188.199951,1150.349976,1163.400024,10344862.0,1169.420044,0,0,0,10344862.0,0,0
2019-08-02,RELIANCE,1184.349976,1198.25,1162.099976,1175.699951,10865385.0,1179.919556,0,0,0,10865385.0,0,0
2019-08-05,RELIANCE,1143.349976,1167.0,1128.0,1167.0,13897461.0,1139.072998,0,0,0,13897461.0,0,0
2019-08-06,RELIANCE,1128.300049,1149.599976,1122.0,1134.75,13288909.0,1124.079346,0,0,0,13288909.0,0,0
2019-08-07,RELIANCE,1109.400024,1138.550049,1103.099976,1126.5,11588879.0,1105.25,0,0,0,11588879.0,0,0
2019-08-08,RELIANCE,1152.349976,1158.0,1095.300049,1108.349976,14262936.0,1148.039307,0,0,0,14262936.0,0,0
2019-08-09,RELIANCE,1162.099976,1175.5,1152.300049,1161.849976,10043949.0,1157.752808,0,0,0,10043949.0,0,0
2019-08-13,RELIANCE,1274.75,1302.800049,1226.0,1233.150024,47923444.0,1269.981445,0,0,0,47923444.0,0,0
2019-08-14,RELIANCE,1288.25,1304.449951,1280.349976,1304.0,14487137.0,1283.430908,0,0,0,14487137.0,0,0
2019-08-16,RELIANCE,1278.0,1291.800049,1273.0,1291.199951,10047496.0,1273.219238,0,0,0,10047496.0,0,0
